charts/episodic_length,losses/policy_loss,losses/old_approx_kl,global_step,_timestamp,losses/clipfrac,charts/learning_rate,losses/explained_variance,charts/SPS,losses/approx_kl,_step,_runtime,charts/episodic_return,losses/value_loss,losses/entropy
258.0,,,32132,1763260143.7622583,,,,,,481,58.43337631225586,258.0,,
,0.0001764744520187378,1.0740943253040314e-05,33024,1763260144.542245,0.0,0.0002802611270453781,0.8565527200698853,1040.0,2.2444874048233032e-07,490,59.2133629322052,,24.046110153198242,0.5943315029144287
,-0.004426337778568268,-0.003936974331736565,34432,1763260145.846292,0.0,0.00027941627195104957,-0.1416020393371582,1042.0,0.0003809817135334015,504,60.51741003990173,,15.367029190063477,0.5886736512184143
,-0.0006450377404689789,0.0013108272105455399,35456,1763260146.7684124,0.0,0.000278801831882447,0.3607773780822754,1043.0,1.527555286884308e-05,515,61.43953037261963,,13.900583267211914,0.5943434238433838
,-0.0005846470594406128,0.0007130727171897888,36864,1763260148.0312557,0.0,0.0002779569767881185,0.5056291818618774,1046.0,9.42125916481018e-06,530,62.70237374305725,,10.02588939666748,0.5439910292625427
,0.00458497554063797,-0.0028795097023248672,37760,1763260148.8393679,0.0,0.00027741934172809124,0.0022669434547424316,1047.0,5.686841905117035e-05,539,63.510485887527466,,112.40499877929688,0.5355525016784668
,0.005418099462985992,0.02754928171634674,38656,1763260149.6210492,0.00390625,0.000276881706668064,-0.056554317474365234,1049.0,0.003756275400519371,547,64.29216718673706,,11.37325382232666,0.5207672119140625
304.0,,,39336,1763260150.2318723,,,,,,555,64.90299034118652,304.0,,
,-0.0015551820397377014,0.0032409755513072014,39680,1763260150.5522425,0.0,0.00027626726659946144,0.7464209198951721,1051.0,0.0005998453125357628,559,65.22336053848267,,90.34225463867188,0.5218910574913025
,0.021519530564546585,-0.018706634640693665,40448,1763260151.264684,0.0,0.00027580646565183997,0.8808732628822327,1051.0,0.0008692126721143723,568,65.93580198287964,,25.41327476501465,0.5882824659347534
236.0,,,42642,1763260153.254257,,,,,,595,67.92537498474121,236.0,,
,0.007358228787779808,-0.0015534274280071259,43904,1763260154.403945,0.0,0.0002737327304203063,0.9481047987937927,1055.0,0.003057096153497696,612,69.0750629901886,,26.45004653930664,0.5023907423019409
,-0.00262637622654438,-0.0008795997127890587,44032,1763260154.5161161,0.0,0.000273655925411731,0.9816608428955078,1055.0,0.001953338272869587,614,69.1872341632843,,4.085595607757568,0.537693977355957
417.0,,,45434,1763260155.704681,,,,,,630,70.37579894065857,417.0,,
,-0.006023220717906952,-0.0013770908117294312,45952,1763260156.2479515,0.0,0.0002725038502831012,-0.0601658821105957,1057.0,0.00041893310844898224,636,70.91906952857971,,233.5521240234375,0.5252018570899963
500.0,,,46434,1763260156.6142695,,,,,,640,71.28538751602173,500.0,,
,0.00041747838258743286,0.0003328053280711174,47360,1763260157.4982636,0.0,0.0002716589951887727,0.0011035799980163574,1059.0,8.351821452379227e-05,650,72.16938161849976,,241.76768493652344,0.5560294389724731
,-0.006488248705863953,-0.011368309147655964,48640,1763260158.6386793,0.001953125,0.0002708909451030195,0.17391657829284668,1061.0,0.0010722698643803596,664,73.3097972869873,,2.83777117729187,0.5159763693809509
,-0.0003820769488811493,-0.0003488417714834213,50432,1763260160.2548642,0.0,0.000269815674982965,0.02099466323852539,1062.0,1.5616416931152344e-05,684,74.92598223686218,,319.3279724121094,0.5633062124252319
,-0.0029858071357011795,0.0013499613851308823,50816,1763260160.5947495,0.0,0.00026958525995723903,0.08936583995819092,1063.0,0.00017649680376052856,689,75.26586747169495,,405.4852294921875,0.553144097328186
245.0,,,51599,1763260161.4103303,,,,,,698,76.0814483165741,245.0,,
,0.00015636906027793884,-0.0018511787056922913,51968,1763260161.7712796,0.0,0.00026889401488006115,0.07383072376251221,1061.0,7.387250661849976e-05,702,76.4423975944519,,322.6861572265625,0.5210368037223816
,0.00017405487596988678,-0.004492404870688915,52480,1763260162.2566507,0.0,0.00026858679484575987,0.7539852857589722,1061.0,0.00028522592037916183,707,76.92776870727539,,141.38909912109375,0.4773994982242584
500.0,,,54556,1763260164.4889753,,,,,,729,79.16009330749512,500.0,,
,-0.000723816454410553,0.001184980385005474,57216,1763260166.906562,0.0,0.000265745009528473,-0.014220118522644043,1057.0,0.0001547662541270256,757,81.5776801109314,,261.1003723144531,0.5458768606185913
,0.0026420019567012787,-0.003032124601304531,57728,1763260167.3502812,0.0,0.00026543778949417174,0.0019221305847167969,1058.0,9.061675518751144e-05,762,82.02139925956726,,507.66119384765625,0.5357829928398132
,-0.007999520748853683,0.007508826442062855,58240,1763260167.8406112,0.0,0.00026513056945987046,0.005751311779022217,1058.0,0.0003772145137190819,767,82.51172924041748,,491.74945068359375,0.5294520258903503
,-0.0002819448709487915,-0.006252137944102287,59136,1763260168.620563,0.0,0.0002645929343998432,0.023425936698913574,1059.0,0.0008180774748325348,775,83.29168105125427,,0.22708259522914886,0.5838212966918945
,0.001565307378768921,-0.0007256977260112762,60416,1763260169.7980554,0.0,0.00026382488431409,0.049242496490478516,1060.0,4.53852117061615e-05,788,84.46917343139648,,0.138228178024292,0.5398184061050415
,0.0016027912497520447,-0.0019541261717677116,61312,1763260170.5833566,0.0,0.00026328724925406277,-0.14043164253234863,1061.0,7.17388466000557e-05,797,85.25447463989258,,0.11263228952884674,0.49739527702331543
,0.003479570150375366,0.005079698748886585,62208,1763260171.397928,0.0,0.00026274961419403553,0.002080380916595459,1061.0,0.00026656780391931534,806,86.06904602050781,,418.12939453125,0.5423071384429932
500.0,,,63143,1763260172.228323,,,,,,815,86.89944100379944,500.0,,
,-0.00833214819431305,-0.004130546934902668,68096,1763260176.6898925,0.0,0.0002592165837995708,-4.093031406402588,1065.0,0.001029125414788723,863,91.36101055145264,,0.0010466434760019183,0.48948198556900024
,0.0010055750608444214,1.0964460670948029e-05,68992,1763260177.5046482,0.0,0.00025867894873954356,-1.0019738674163818,1066.0,0.0007494958117604256,872,92.17576622962952,,0.0009060495649464428,0.5806052684783936
,0.0017634034156799316,0.04668650031089783,69376,1763260177.8365006,0.009765625,0.0002584485337138176,0.7531707882881165,1066.0,0.008188559673726559,876,92.50761866569519,,0.0034069123212248087,0.54069983959198
,0.002958119846880436,0.002628565765917301,74112,1763260182.1362672,0.0,0.00025560674839653075,0.025249719619750977,1068.0,0.0003927340731024742,922,96.80738520622253,,0.0002189489168813452,0.5467365980148315
,-0.0005897879600524902,0.0018006330356001854,74880,1763260182.8424876,0.0,0.0002551459183450788,0.24230879545211792,1069.0,0.001630234532058239,930,97.51360559463501,,0.004984098020941019,0.5793979167938232
,-0.0016954392194747925,0.015618763864040375,75648,1763260183.5454597,0.0,0.0002546850882936269,-0.0007249116897583008,1069.0,0.00148870050907135,938,98.2165777683258,,426.55169677734375,0.49814632534980774
,-0.005626991391181946,-0.003702159970998764,76032,1763260183.8744266,0.0,0.00025445467326790094,-0.22238624095916748,1069.0,0.0007054414600133896,941,98.54554462432861,,0.00026220790459774435,0.5158044695854187
500.0,,,76143,1763260183.912345,,,,,,942,98.5834629535675,500.0,,
,-0.0016574487090110779,0.0008838335052132607,76672,1763260184.463502,0.0,0.00025407064822502434,-0.0001628398895263672,1069.0,4.3244101107120514e-05,948,99.13461995124817,,235.78260803222656,0.5432513952255249
,-0.0077044181525707245,0.0035193422809243202,79360,1763260186.8656552,0.0,0.0002524577430449426,-0.14603257179260254,1071.0,0.0004217168316245079,974,101.53677320480347,,0.004770026542246342,0.5329206585884094
,-0.004137180745601654,-0.03358161449432373,80000,1763260187.440529,0.01953125,0.0002520737471058965,-0.12066638469696045,1071.0,0.003631844185292721,980,102.11164712905884,,0.000579602550715208,0.5917268991470337
,-0.008315766230225563,-0.0011235559359192848,80512,1763260187.918855,0.0,0.0002517665270715952,-0.5847982168197632,1071.0,0.0010450473055243492,985,102.58997297286987,,0.00079828075831756,0.5006595253944397
,0.004889199510216713,-0.004963582381606102,81536,1763260188.842532,0.0,0.00025115208700299263,-0.09220600128173828,1072.0,0.0008873920887708664,995,103.51364994049072,,0.00010433210991322994,0.5475960969924927
,0.0019242018461227417,-0.00039828475564718246,81664,1763260188.9548144,0.0,0.0002510752819944173,-1.5139579772949219e-05,1072.0,0.00017673801630735397,997,103.62593245506287,,435.8232421875,0.5262095332145691
,-0.0027088820934295654,-0.004632093012332916,83584,1763260190.6814797,0.0,0.0002499232068657875,0.05771833658218384,1073.0,0.00041684508323669434,1015,105.35259771347046,,0.00018529647786635906,0.5877569317817688
,-0.010229885578155518,-0.005419972352683544,84096,1763260191.1301398,0.0,0.0002496159868314862,-0.4350459575653076,1073.0,0.001245570369064808,1020,105.80125784873962,,0.00020191320800222456,0.5518263578414917
500.0,,,85143,1763260192.0640006,,,,,,1031,106.73511862754822,500.0,,
500.0,,,87143,1763260193.818938,,,,,,1050,108.49005603790283,500.0,,
,-0.0030419155955314636,-0.012843805365264416,87424,1763260194.1181939,0.0078125,0.0002476190566085279,-0.06640911102294922,1075.0,0.004605335183441639,1053,108.78931188583374,,0.0012434124946594238,0.5027139782905579
,-0.01303534209728241,-0.016819819808006287,87936,1763260194.5628936,0.001953125,0.0002473118365742266,-0.4531508684158325,1075.0,0.0018120845779776573,1058,109.23401165008545,,0.0008205416961573064,0.5199354887008667
,-0.002791956067085266,-0.004818032495677471,90496,1763260196.8964312,0.009765625,0.0002457757364027202,-0.377347469329834,1076.0,0.00126707274466753,1083,111.56754922866821,,0.0009540790924802423,0.5332374572753906
,0.00026444345712661743,0.0019200760871171951,91264,1763260197.595783,0.0,0.0002453149063512683,0.00015538930892944336,1076.0,2.3251399397850037e-05,1091,112.26690101623535,,206.01214599609375,0.5848338007926941
,-0.00033985450863838196,-0.003744065761566162,92800,1763260199.0047112,0.0,0.00024439324624836445,0.12786459922790527,1076.0,0.00010366179049015045,1106,113.6758291721344,,0.0046315803192555904,0.5727107524871826
,0.00024177739396691322,0.0037544211372733116,94080,1763260200.155977,0.0,0.00024362519616261125,-1.318985939025879,1077.0,9.564030915498734e-05,1118,114.82709503173828,,0.00046100534382276237,0.4885827302932739
,-0.015894930809736252,0.015257390215992928,94720,1763260200.7176347,0.013671875,0.00024324117111973464,-5.2582926750183105,1077.0,0.003759498707950115,1125,115.38875269889832,,0.0027114669792354107,0.47290241718292236
,0.0016954317688941956,0.006829584017395973,95488,1763260201.4209359,0.0,0.00024278034106828272,-0.0001913309097290039,1077.0,0.00041514262557029724,1133,116.09205389022827,,357.3770446777344,0.5273759961128235
,0.00012047961354255676,-0.0013990411534905434,96768,1763260202.6146507,0.0,0.00024201229098252952,-0.06491971015930176,1077.0,0.0001339903101325035,1145,117.28576874732971,,0.0004230148915667087,0.5443789958953857
,-0.0071588605642318726,0.006381643004715443,98688,1763260204.3949735,0.0,0.00024086021585389972,-0.2564983367919922,1077.0,0.0003387453034520149,1164,119.06609153747559,,0.0006257749628275633,0.5329075455665588
,0.004041221924126148,0.0006175125017762184,98816,1763260204.5112784,0.0,0.0002407834108453244,-0.14833247661590576,1077.0,9.456183761358261e-05,1165,119.18239641189575,,9.992755076382309e-05,0.5298886895179749
,7.737800478935242e-05,0.004026585258543491,99456,1763260205.072938,0.0,0.0002403993858024478,5.263090133666992e-05,1077.0,0.0003940751776099205,1172,119.74405598640442,,503.3819580078125,0.5080292224884033
500.0,,,100389,1763260205.89954,,,,,,1181,120.57065796852112,500.0,,
500.0,,,100889,1763260206.3723168,,,,,,1186,121.04343485832214,500.0,,
,-0.0054032327607274055,0.008483810350298882,102016,1763260207.3681784,0.001953125,0.0002388632856309414,-0.00012135505676269531,1078.0,0.002612149342894554,1197,122.0392963886261,,0.001106558251194656,0.45890727639198303
,-0.009208068251609802,0.0004704585298895836,103680,1763260208.8891766,0.005859375,0.00023786482051946223,0.35763561725616455,1079.0,0.0028044888749718666,1213,123.56029462814331,,0.00038016686448827386,0.590015172958374
500.0,,,103889,1763260209.0268507,,,,,,1215,123.69796872138977,500.0,,
,0.0009079352021217346,0.0051192427054047585,104960,1763260210.0378544,0.0,0.00023709677043370903,4.947185516357422e-06,1079.0,0.00036636460572481155,1226,124.70897245407104,,302.5320739746094,0.5801525115966797
500.0,,,105389,1763260210.385896,,,,,,1230,125.05701398849487,500.0,,
,0.002568615600466728,-0.0038300054147839546,105856,1763260210.849893,0.001953125,0.00023655913537368178,0.0205458402633667,1079.0,0.0009566275402903557,1234,125.52101111412048,,0.00017238815780729055,0.6114758253097534
500.0,,,106889,1763260211.7758813,,,,,,1245,126.44699931144714,500.0,,
500.0,,,107889,1763260212.5850694,,,,,,1254,127.25618743896484,500.0,,
,-0.005177035927772522,-0.0026401709765195847,109568,1763260214.1746845,0.0,0.0002343317901249975,0.010918200016021729,1080.0,0.0006903782486915588,1271,128.84580254554749,,0.008037891238927841,0.44792884588241577
500.0,,,112389,1763260216.694981,,,,,,1299,131.3660991191864,500.0,,
,-0.0037069320678710938,-0.0020510535687208176,116224,1763260220.1793606,0.0,0.00023033794423099607,-0.07153034210205078,1082.0,0.0001203436404466629,1339,134.8504786491394,,0.00019967755360994488,0.46876493096351624
500.0,,,116263,1763260220.1936247,,,,,,1340,134.8647427558899,500.0,,
,-0.005441086366772652,-0.008242920972406864,117248,1763260221.0961084,0.0,0.0002297235041623935,-0.4319721460342407,1082.0,0.0013359105214476585,1349,135.76722645759583,,0.0002444771525915712,0.46757999062538147
,0.001423519104719162,0.0058524347841739655,118656,1763260222.3837774,0.001953125,0.000228878649068065,-0.12151885032653809,1082.0,0.0008200816810131073,1363,137.05489540100098,,0.00019316388352308422,0.4960792660713196
,-0.006582543253898621,0.003245202824473381,118784,1763260222.4991033,0.0,0.00022880184405948967,2.7894973754882812e-05,1082.0,0.0002002771943807602,1365,137.17022132873535,,214.25054931640625,0.5029075145721436
,0.004350733011960983,-0.005523872561752796,119296,1763260222.9450443,0.0,0.00022849462402518839,0.0001373291015625,1083.0,0.0012654820457100868,1370,137.61616230010986,,252.2691650390625,0.5224531888961792
,-0.009400919079780579,0.007049380801618099,120320,1763260223.870851,0.0,0.00022788018395658582,-3.2782554626464844e-05,1083.0,0.0013500088825821877,1380,138.54196906089783,,270.50323486328125,0.49975502490997314
,0.00483790785074234,-0.0011140666902065277,120448,1763260223.9809916,0.0,0.0002278033789480105,-0.2101684808731079,1083.0,0.0003767162561416626,1381,138.65210962295532,,0.005873192101716995,0.4618510603904724
,0.000288892537355423,-0.003592780791223049,121216,1763260224.6861625,0.0,0.00022734254889655858,-0.14777910709381104,1083.0,0.0016970867291092873,1388,139.3572804927826,,0.00013084216334391385,0.4241953492164612
,-0.00019489973783493042,-0.0003594839945435524,121856,1763260225.2717478,0.0,0.00022695852385368198,3.415346145629883e-05,1083.0,0.0004154825583100319,1395,139.94286584854126,,524.0235595703125,0.4494646191596985
500.0,,,122263,1763260225.6219604,,,,,,1399,140.2930784225464,500.0,,
,-0.0002316609025001526,-0.0015656035393476486,122880,1763260226.1664999,0.0,0.00022634408378507942,8.237361907958984e-05,1083.0,0.0003316272050142288,1405,140.8376178741455,,60.588993072509766,0.4817805588245392
,-0.0016319900751113892,-7.197167724370956e-05,125696,1763260228.7195392,0.0,0.00022465437359642237,0.001437544822692871,1084.0,1.7845071852207184e-05,1432,143.39065718650818,,3.902926982846111e-05,0.4492296278476715
500.0,,,125763,1763260228.7430003,,,,,,1433,143.4141182899475,500.0,,
,0.001758689060807228,-0.00668741948902607,128000,1763260230.8022473,0.0,0.0002232718834420666,-0.29307103157043457,1084.0,0.0018103905022144318,1455,145.47336530685425,,0.004796601831912994,0.4927079379558563
,0.0013864338397979736,-0.0017635077238082886,128128,1763260230.913972,0.001953125,0.0002231950784334913,-0.09477579593658447,1084.0,0.0037874840199947357,1456,145.5850899219513,,0.00046137883327901363,0.46139705181121826
,-0.003982745110988617,-0.0019932305440306664,128256,1763260231.0233998,0.0,0.00022311827342491597,-0.02041029930114746,1084.0,0.00016098003834486008,1457,145.69451785087585,,0.00020619119459297508,0.48416170477867126
,0.0009377822279930115,0.003909611143171787,134016,1763260236.2363286,0.0,0.0002196620625909418,0.1577134132385254,1085.0,0.00016231369227170944,1514,150.9074466228485,,0.0007518440252169967,0.46657446026802063
500.0,,,134763,1763260236.8689427,,,,,,1521,151.5400607585907,500.0,,
,-0.01254136860370636,0.0010153232142329216,135168,1763260237.2744823,0.0,0.0002189708175137639,-0.13686919212341309,1085.0,0.0017723338678479195,1525,151.94560027122498,,0.0001740650914143771,0.4503616392612457
,-0.009413447231054306,-0.007368449121713638,135296,1763260237.388253,0.0,0.00021889401250518858,0.00032901763916015625,1085.0,0.0008029546588659286,1527,152.05937099456787,,311.5128173828125,0.4959985017776489
,-0.006765692960470915,0.015716206282377243,135552,1763260237.6098003,0.005859375,0.00021874040248803794,0.1830863356590271,1086.0,0.002321935258805752,1529,152.28091835975647,,0.0007486146641895175,0.4070664942264557
,-4.25875186920166e-05,-0.003691351041197777,136064,1763260238.0884013,0.0,0.00021843318245373666,-0.057610511779785156,1086.0,7.414259016513824e-05,1534,152.7595193386078,,0.00033607202931307256,0.45786893367767334
500.0,,,136263,1763260238.2249684,,,,,,1536,152.89608645439148,500.0,,
,-0.006952561438083649,-0.014260044321417809,136960,1763260238.8978245,0.0,0.00021789554739370942,0.22973012924194336,1086.0,0.002627504989504814,1543,153.56894254684448,,0.003692970611155033,0.5070165991783142
,-0.013693959452211857,-0.003612562082707882,137216,1763260239.1246562,0.0,0.00021774193737655878,0.016074776649475098,1086.0,0.002469935454428196,1545,153.7957742214203,,0.00011511021148180589,0.5252587199211121
500.0,,,137263,1763260239.1413298,,,,,,1546,153.81244778633118,500.0,,
,-0.01605086959898472,0.001997414045035839,138496,1763260240.2714903,0.0,0.00021697388729080558,0.11566811800003052,1086.0,0.001947072334587574,1558,154.94260835647583,,0.006045794114470482,0.5532954335212708
,-0.0002641230821609497,0.019898932427167892,138624,1763260240.3834338,0.017578125,0.00021689708228223026,0.09106361865997314,1086.0,0.005930627696216106,1559,155.0545518398285,,0.00040822121081873775,0.5248335599899292
,-0.005369372665882111,0.004250938072800636,139008,1763260240.717743,0.0,0.0002166666672565043,-0.035500288009643555,1086.0,0.0005491543561220169,1563,155.38886094093323,,0.0036039636470377445,0.529757559299469
,0.002499625086784363,-0.01367139257490635,139264,1763260240.972645,0.00390625,0.00021651305723935366,-2.6941299438476562e-05,1086.0,0.0012566428631544113,1566,155.64376306533813,,505.06890869140625,0.5856959819793701
,-0.003184894099831581,-0.0013522868975996971,141440,1763260242.9111602,0.0,0.0002152073720935732,-0.00015079975128173828,1087.0,0.0005201539024710655,1588,157.58227825164795,,381.6396789550781,0.5040503144264221
,-0.006842091679573059,0.005250101909041405,141568,1763260243.0518553,0.0,0.0002151305670849979,0.1373959183692932,1086.0,0.0006058830767869949,1589,157.7229733467102,,0.0055535356514155865,0.5226411819458008
,-0.004016794264316559,0.01600058749318123,142336,1763260243.7234614,0.0,0.00021466973703354597,-9.5367431640625e-06,1087.0,0.00125124491751194,1597,158.39457941055298,,578.3818359375,0.5051435232162476
,-0.008387692272663116,-0.006963108666241169,143360,1763260244.6463091,0.0,0.0002140552969649434,-3.2067298889160156e-05,1087.0,0.0011942358687520027,1607,159.3174271583557,,473.0579528808594,0.49718376994132996
,-0.010003015398979187,0.007134397514164448,143616,1763260244.8657413,0.0,0.00021390168694779277,0.015295743942260742,1087.0,0.0020685093477368355,1609,159.53685927391052,,0.00034407508792355657,0.5414906144142151
,0.0052908193320035934,0.0009172447025775909,143744,1763260244.9767957,0.005859375,0.00021382488193921745,-0.00828099250793457,1087.0,0.0028769783675670624,1610,159.6479136943817,,0.0003085642820224166,0.49035975337028503
,0.0014346744865179062,0.0006328988820314407,143872,1763260245.1273403,0.0,0.00021374807693064213,0.0,1087.0,0.000231252983212471,1612,159.7984583377838,,478.0925598144531,0.42644205689430237
500.0,,,145335,1763260246.4656847,,,,,,1626,161.13680267333984,500.0,,
,-0.008301785215735435,0.0032335491850972176,146560,1763260247.5960758,0.0,0.0002121351717505604,0.20032691955566406,1087.0,0.0005438728258013725,1638,162.2671937942505,,0.0071275983937084675,0.5273289680480957
,0.002168789505958557,0.00473001878708601,151552,1763260252.1176353,0.0,0.00020913979096803814,0.008359134197235107,1087.0,0.00028601568192243576,1687,166.7887532711029,,0.004456209950149059,0.5569297075271606
,-0.003948226571083069,-0.0023533981293439865,156160,1763260256.2564406,0.0,0.0002063748106593266,0.06889837980270386,1088.0,0.0009042061865329742,1732,170.9275586605072,,0.00037290467298589647,0.5383954048156738
,-0.0007478967308998108,0.0006475411355495453,157440,1763260257.4039123,0.0,0.0002056067605735734,2.6941299438476562e-05,1088.0,9.695813059806824e-05,1745,172.07503032684326,,103.99002838134766,0.5332135558128357
500.0,,,158335,1763260258.1473424,,,,,,1753,172.81846046447754,500.0,,
,-0.0004222691059112549,-0.007720240391790867,158336,1763260258.2172225,0.0,0.00020506912551354617,-0.0002338886260986328,1088.0,0.0003222571685910225,1754,172.88834047317505,,198.35047912597656,0.45831361413002014
,0.003405049443244934,-0.002416076138615608,159488,1763260259.2536087,0.0,0.0002043778804363683,-0.02878427505493164,1089.0,0.0003151576966047287,1765,173.92472672462463,,0.004204775672405958,0.5777574181556702
500.0,,,159835,1763260259.5050156,,,,,,1768,174.1761336326599,500.0,,
